input_text,simplified_phrase
"Simplify this emergency instruction into concise, actionable phrases: Kindly move to higher ground immediately to avoid the floodwaters without panicking.",Move Higher. Avoid Flood.
"Simplify this emergency instruction into concise, actionable phrases: Please stay away from electrical outlets and avoid using wired devices right now.",Avoid Outlets. No Wired Devices.
"Simplify this emergency instruction into concise, actionable phrases: Please apply direct pressure to the wound and elevate the injured area and help others if you can.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, drop to the floor, take cover under a sturdy table, and hold on while waiting for responders.",Drop. Cover. Hold On.
"Simplify this emergency instruction into concise, actionable phrases: Quickly check for breathing and begin cpr if necessary to ensure your safety.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: It is very important that you move away from the windows and find a secure room.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Quickly lock the doors, turn off the lights, and remain silent before the situation worsens.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not use the elevators, use the emergency fire stairs to ensure your safety.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Please apply direct pressure to the wound and elevate the injured area and stay calm.",Apply Pressure. Elevate Wound.
"Simplify this emergency instruction into concise, actionable phrases: I need you to immediately check for breathing and begin cpr if necessary and stay calm.",Check Breathing. Start CPR.
"Simplify this emergency instruction into concise, actionable phrases: Action required: secure all loose objects and stay away from glass panels and stay calm.",Secure Objects. Avoid Glass.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to do not use the elevators, use the emergency fire stairs as instructed.",No Elevators. Use Stairs.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, lock the doors, turn off the lights, and remain silent.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Drop to the ground, take cover under a sturdy table, and hold on until the shaking stops as quickly as possible.",Drop. Cover. Hold.
"Simplify this emergency instruction into concise, actionable phrases: You must turn off the main gas valve and evacuate the premises as instructed.",Turn Off Gas. Evacuate.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to lock the doors, turn off the lights, and remain silent carefully.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Without delay, move away from the windows and find a secure room before the situation worsens.",Away From Windows. Secure Room.
"Simplify this emergency instruction into concise, actionable phrases: Wear protective equipment before approaching the spill following emergency procedures.",Wear Protection. Spill.
"Simplify this emergency instruction into concise, actionable phrases: Kindly lock the doors, turn off the lights, and remain silent before the situation worsens.",Lock Doors. Lights Off. Remain Silent.
"Simplify this emergency instruction into concise, actionable phrases: Please make sure to move away from the windows and find a secure room carefully.",Away From Windows. Secure Room.
